"[Br,Cl,I][CX4H]",secondary alkyl halide,
"[Br,Cl,I][CX4H2]",primary alkyl halide,
"[Br,Cl,I][CX4!H]",tertiary alkyl halide,
"[S,C](=[O,S])[F,Br,Cl,I] ",acid halide,
O=CN=[N+]=[N-] ,carbazide,
"COS(=O)O[C,c] ",sulphate ester,
"COS(=O)(=O)[C,c] ",sulphonate,
C(=O)OC(=O) ,acid anhydride,
OO ,peroxide,
C(=O)Oc1c(F)c(F)c(F)c(F)c1(F) ,pentafluoro phenyl ester,
C(=O)Oc1ccc(N(=O)=O)cc1 ,para nitrophenyl ester,
C(=O)Onnn ,hobt ester,
N=C=[S] ,isothiocyanate,
N=C=[O] ,generic isocyanate,
OS(=O)(=O)C(F)(F)F,triflate,
P(=S)(S)S ,lawessons reagent,
NP(=O)(N)N,phosphoramide,
cN=[N+]=[N-],aromatic azide,
"C(=O)C[N+,n+] ",beta carbonyl quaternary nitrogen,
[N;R0][N;R0]C(=O) ,acyl hydrazide,
[N;R0][N;R0]C(=S) ,acyl thiohydrazide,
[C+] ,cationic c,
[Cl+] ,cationic cl,
[I+] ,cationic i,
[P+] ,cationic p,
[S+] ,cationic s,
C=P,phosphorane,
[Cl]C([C&R0])=N,chloramidine,
[N&D2](=O),generic nitroso,
"[P,S][Cl,Br,F,I]",sulphur halide,
"[P][Cl,Br,F,I]",p halide,
N=C=N,carbodiimide,
[N+]#[C-],isonitrile,
C(=O)N(C(=O))OC(=O),triacyloxime,
N#CC[OH],cyanohydrin,
N#CC(=O) ,acyl cyanide,
S(=O)(=O)C#N,sulfonyl cyanide,
P(OCC)(OCC)(=O)C#N,cyanophosphonate,
[N;R0]=[N;R0]C#N,azocyanamide,
[N;R0]=[N;R0]CC=O,azoalkanal,
[CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0][CD2;R0],aliphatic methylene chain 7 or more,
"[C,S,P](=O)[OH] ",acidic groups,
[O;R1][C;R1][C;R1][O;R1][C;R1][C;R1][O;R1] ,crown ether,
C1[S]C1,thioepoxide,
C1[N]C1,aziridine,
c([OH])cc([OH])c([OH]),"2,4,5_trihydroxyphenyl",
c([OH])c([OH])c([OH]),"2,3,4_trihydroxyphenyl",
N=NC(=S)N,hydrazothiourea,
cC[N+],benzylic quaternary nitrogen,
N[CH2]C#N,cyanamide,
C1(=O)OCC1,four membered lactone,
P(=O)([OH])OP(=O)[OH],di and tri phosphates,
N1CCC1=O,betalactam,
O=C1[#6]~[#6]C(=O)[#6]~[#6]1,quinone,
C=CC=CC=CC=C,polyene,
O1CCCCC1OC2CCC3CCCCC3C2 ,saponin,
O=C1NCC2CCCCC21,cytochalasin,
O=C1CCCC(N1)=O,cycloheximide,
O1CCCCC1C2CCCO2,monensin,
[OH]c1cc([OH])cc2OC(C([OH])Cc21)c3cc([OH])c([OH])cc3,cyanidol,
C12OCCC(O1)CC2,squalestatin,
c-N(=O)~O,aromatic nitro,
[O][CH2]N1C(=O)CCC1(=O),oxyimides,
[N][CH2]N1C(=O)CCC1(=O),azoimides,
[S][CH2]N1C(=O)CCC1(=O),thioimides,
O=C-N!@N,carbonyl nn,
C!@N=*,acyclic imine,
[P](=O)(=O)OC,alkyl p ester,
[S](=O)(=O)OC,alkyl s ester,
S-C#N,thiocyanate,
"S=C-[#6,N,O]",thionyl,
"[$(C-[Cl,Br,I]),$(O=C-[Cl,Br,I,F]),$(O=C([CH,CH2][Cl,Br,I,F])[O,C]),$(C~O~[Cl,Br,I,F][CH,CH2]),$(n1c([Cl,Br,I,F])nccc1);!$(C=C-[Cl,Br,I]);!$(ClC-[Cl,Br,I,F])]",active halogen,
[#14]~N,silyl amine,
PS,sulphur nitrogen,
PN,sulphur phosphorous,
[N;R0]=[N;R0]=[C;R0],alkyl diazo,
[N+]#N-*,diazonium,
"[Cl,Br,I,F][S,P,Si,N]",unstable halide,
[#14]-O-*,silicate,
N(~O)(~O)(~O)-*,nitrate,
"[C,c]-N(=O)~O ",nitros,
"[!$([C,c]-N(=O)~O);$([!O]~[N;R0]=O)]",nitrogen oxide,
"N([H,C;X4])([H,C;X4])-[C;R0;X4]-N[C;X4]([H,C;X4])([H,C;X4])",acyclic aminal,
"N#C[C;R0;X4]O[!$(O=[C,S])]",acyclic cyanohydrin,
"[C;R0](=[C;R0])-[S,O,N;R0][!$(O=[C,S])]",acyclic enol,
[O-]-[C;R0]=[C;R0],acyclic enolate,
[C;R0](=[C;R0])-[OH],general acyclic enol,
B,boron,
O=CON1C(=O)CCC1=O,labile ester 1,
O=COn1cncc1,labile ester 2,
Fc1c(OC=O)c(F)c(F)c(F)c1F,labile ester 3,
[S;D2][C;R0](C)(C)C,quaternary sulphur,
